Address|ProjectDescription|PermitNumber
8415 GRANVILLE STREET, Vancouver, BC V6P 4Z9|"Certified Professional Program - New Building - To construct  a 10 storey mixed-use building consisting of:
1st  storey - 8 retail (shell) units (Group E)
2nd storey - 10 office ( shell) suites (Group D) & commercial amenity space, and
3rd to 10th storeys - 64 residential market units,
with a residential  amenity space at 4th storey,
all over 4 levels of underground parking garage. 

NOTES:
1. The following areas of this building are TIPs eligible:
  - 1st storey  retail units;
  - 2nd storey office units. 
2. This building is designed to meet Accessibility Requirements of Section 3.8 of the VBBL, with exception of interior accessible routes where designed to meet provisions of CSA B651-12.

Stage I - Excavation & Shoring - Issued March 28, 2022
Stage 2 Full permit in review"|BP-2021-01838
7853 GRANVILLE STREET, Vancouver, BC V6P 4Z1|"Certified Professional Program - New Building - To develop a 4 storey multiple dwelling, stacked townhouse building consisting of 5 dwelling units with 5 surface parking spaces at the rear, having vehicular access from the lane, on this site.

FULL CONSTRUCTION

 Revision #1 - Minor interior layout adjustment - issued 2018 Dec. 19"|BP-2017-01149
2687 MAPLE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a 7 storey multiple dwelling building consisting of 3 townhouse units at the ground and second level with 5 dwelling units in the storeys above, all over 2 levels of underground parking, having vehicular access from the lane, on this site.

Related to  BP-2016-03526 for site work.

Stage 1 (Excavation and Shoring) issued - 16-May -2017
Stage 2 (Full Structural)              issued - 20-June-2017
Stage 3  (Full Construction)         issued - 01-Sept-2017

Revision #1 - refer to BP-2016-03526 - 01-Nov-2017  tn."|BP-2017-01126
2687 MAPLE STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - This Permit has been  issued for site work and all below grade facilities for the proposed development: 
Interior and exterior alterations and changing the use from retail to a  dwelling, consisting of two Class A Artist Studios, for this existing Heritage 2 storey building,  and to construct a 7 storey multiple dwelling building consisting of 3 townhouse units at the ground and second level with 5 dwelling units in the storeys above, all over 2 levels of underground parking, having vehicular access from the lane, on this site.
All fees for the entire development on this site applied against this Permit.

Stage 1(excavation and shoring)  issued 16-May-2017
Stage 2 (full structural)               issued 20-June-2017
Stage 3 (Full Construction)          issued  01-Sep-2017

Revision#1 - 01-Nov-2017tn
Revision#2 - 11-Apr-2019 tn 
1. Change of Mechanical/Plumbing  Engineer of Record at AME Consulting Group Ltd. from Hamid Samani, P. Eng. to Matt Younger , P. Eng. effective March 13t, 2019.
2. Change of Electrical   Engineer of Record  at AES  Engineering from Philip O'Neill, P. Eng. to Kevin Pearson, P. Eng. effective Feb 15 th, 2019.
Schedule Bs, letters from the owner and incoming professionals on file."|BP-2016-03526
5085 MCHARDY STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a six-storey building, combustible construction, containing a total of 102 social housing dwelling units, all over one level of underground parking providing 27 parking spaces having vehicular access from the lane.

Principal entrance on McHardy St.  Street extension must be completed prior to building occupancy.

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  Energy conforms to 10.2.2.5. Passive House.  Building to be sprinklered to NFPA 13 requirements. 

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued August 8, 2022

Stage 1 Revision 1 - Revised shoring drawings to include:
- Shoring adjacent to tree protection area along west elevation,
- temporary support and shoring of power pole along north elevation, and
- additional shoring to facilitate fire pump tank installation along west elevation, per AL-2022-00141 - issued October 27, 2022.

Stage 2 - Full Construction - in review"|BP-2021-03015
433 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J3|"Certified Professional Program - New Building - To construct a 2 storey, 3 dwelling units (West) townhouses behind the 5 storey MCD.

Refer to BP-2019-04306 for site work, below grade facilities and common underground parking.
  
VBBL 2014 

Reviewed during the 2020 pandemic crisis."|BP-2020-02983
4118 YUKON STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-01830 To construct two 4 storey wood frame residential structures and three 2 storey townhome style units with a fourth combined amenity/residential building above one level of below grade parking. 

Stage # 1 - Excavation and shoring - issued 2017 June 08
Stage #2 - Full structural work up to roof- issued 2017 July 26
stage #3 - Full construction - issued 2017 Nov. 24

Building 1 (E) - 288 W King Edward Av - BP-2017-06082
Building 2 (W) - 4118 Yukon St - BP-2017-06083
Building 3 (TH) - 4128 Yukon St - BP-2017-06084
Building 4 (TH/Amenity) - 318 W King Edward Av - BP-2017-06085

See site permit BP-2017-01830 for details"|BP-2017-06083
3188 RIVERWALK AVENUE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a new  seven storey residential building  - Building 1 consisting of 76 strata units  over 2 levels of underground parking.

Note : West Tower  - Building  1 (""A"")  
Related to BP-2017-04521 - Site Permit

21-Dec-2017 - Stage 1 (Excavation and Shoring) issued.
29-Aug-2018 - Stage 2 (Full Structure) issued. 
26-Apr-2019 - Stage 3  (Full Permit)  issued.

Note: The following documents must be provided prior to  the application for Occupancy Permit:
1. A comprehensive Flood Safety plan.
2. A post-event plan to inform and  direct the owners of the building about components or areas of the building that require investigation and potential restoration work.
Updated professional letters regarding Confirmation of Flood Plain Design on file. 

Revision#1  - 23-Oct-2019 tn
As of September 21, 2019, Mr. Mike Dixon  will no longer be the Registered Professional of Record for Mechanical and Plumbing disciplines for this project.
As of September 21, 2019 Mr. E. Zander  Eng. L., swill undertake  responsibility as the Registered Professional of Record for Mechanical and Plumbing 
disciplines. 
Outgoing EOR Letter, Incoming EOR Letter, and Schedule B by E. Zander on file."|BP-2018-04679
1130 E BROADWAY, Vancouver, BC V5T 1Y7|"High Density Housing / Commercial - New Building - To construct an addition of one storey to this existing 3 storey building, and  to provide interior and exterior alterations and reconfigure existing dwelling units layouts from first to third storeys, and to alter the  existing underground parking in this existing multiple dwelling building containing thirty-seven (37) rental dwelling units.

NOTE: The existing three (3) storey residential building contained twenty-nine (29) residential rental units; additional eight (8) residential units are provided.  
This is a major vertical addition and reconstruction with corresponding levels of upgrade: F4, S4, N4, A4 and E6.


Revision#1 -  05-Feb-2019 tn
Reinbold Engineering Group will no longer take responsibility for the FFS discipline. A new Mechanical and Plumbing Schedule B provided by D. Reinbold, P. Eng. 
Mr. E. Johnston has been retained by Frontier Fire Protection Ltd. to be the sprinkler design engineer of record for this project.

Revision#2  - 21-Aug-2019 tn
BP Revision after DP-2017-01333, DP-2018-00319, DP-2018-0115. 
Changes to exterior cladding as approved by Jason Olinek on Aug. 21, 2018. 
Revisions to architectural and structural drawings  were required to reflect the existing conditions when the building structure became exposed and the structure was precisely analyzed  to reflect existing conditions.  
List of changes to architectural drawings on file. 
Acoustical Report to analyze  the elevator wall assembly - Wi8 on file."|BP-2017-00080
3593 W 30TH AVENUE, Vancouver, BC V5S 1W6|"Certified Professional Program - New Building - To construct a 5 storey mixed use development containing fifty-nine (59) secured market rental dwelling units on the 2nd to 5th storeys, with a retail  (grocery store, shell ) and one commercial retail unit ( shell)  on the 1st storey all over two levels of underground parking having vehicular access from the lane.

Address Note: 
3593 W 30th Av - Residential Lobby 2nd-5th Storeys (North Lobby)

20-July-2016 - issued Stage#1  (excavation and shoring)

Revision #1 - 27-July-2016 tn
1.Project description updated with the correct number of rental dwelling units.
2.Change of the applicant's name to Thomas D. Campbell.

19-Aug-2016 - issued Stage 2 (foundation to grade - structural only)

Revision #2 10-Mar-2017 tn
10-Mar-2017 - issued Stage 3 ( Full Construction)
Project description updated.
Project address changed to 3593 W 30th Ave."|BU467334
1277 HORNBY STREET, Vancouver, BC V6Z 1W4|"Certified Professional Program - New Building -  To construct a 35 storey mixed use highrise building with 239 market residential units, 24 rental residential units,  CRUs on Level 1, offices on Levels 3, 5 & 6 (note that Level 4 is omitted to match the adjacent Tower A) and 9 levels of underground parade (Burrard Place Tower C). 

Tower C is connected to Tower A which is currently under construction. 
Note that the office suites on Levels 3, 5 & 6 will be addressed off the Tower A office lobby at 1281 Hornby Street. The residential suites on Levels 7 to 35 will be addressed off the Tower C residential entry lobby at 1277 Hornby Street. 

Stage I (excavation/ shoring) issued June 15/ 22."|BP-2021-04700
|"Certified Professional Program - New Building - To construct a new 6 storey 66 unit multi-family residential building  over  2 levels of underground parking. 
The development will consist of one 6 storey 66 unit  tower at the front and a block of four 2 storey townhouses at the rear of this site (total of 70 residential  units). 

Building 1 (Multiple Dwelling building at front of site) 
528 W King Edward Av – residential lobby 1st – 6th storey *Primary Building address

Related to BP-2017-01273 (Site Permit)."|BP-2017-04245
530 W KING EDWARD AVENUE, Vancouver, BC V5V 2C9|"Certified Professional Program - New Building - To construct a new  2 storey  Multiple Dwelling-townhouse building (Building 2)  at rear of site  consisting of  4  units all over of 2 levels of underground parking. 
The development will consist of one  6 storey 66 unit  tower (Building 1)   at the front and   a block of four 2 storey  townhouses (Building 2)  at the rear of this site (total of 70 residential units).

Related to BP-2017-01273 (Site Permit)"|BP-2017-04248
349 E 6TH AVENUE, Vancouver, BC V5T 1J9|"Certified Professional Program - New Building - To construct a 12-storey (13 storeys under VBBL, Level 0 is 1st storey with dwelling units and storage facilities) social housing rental apartment building with 82 dwelling units all over 1 level of underground parking having vehicular access from the lane.   

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  Building to be sprinklered to NFPA 13 requirements. 

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued April 21, 2022
Stage 2 - Full Structure - issued October 28, 2022
Stage 3 - Full Construction - in review"|BP-2021-01020
560 W 28TH AVENUE, Vancouver, BC V5Z 2H1|"Certified Professional Program - New Building - Building 6 - To Construct one - 3 storey multiple dwelling townhouse containing 5 dwelling units.

Refer to 2019-01517 for site work, below grade facilities and common underground parking.

VBBL 2014 - Reviewed during the 2020 pandemic crisis."|BP-2021-00199
526 W 28TH AVENUE, Vancouver, BC V5Z 2H1|"Certified Professional Program - New Building - Building 2 - To Construct one - 3 storey multiple dwelling townhouse containing 5 dwelling units.

Refer to 2019-01517 for site work, below grade facilities and common underground parking.

VBBL 2014 - Reviewed during the 2020 pandemic crisis."|BP-2021-00195
4406 ASH STREET, Vancouver, BC V5Z 4R5|"Certified Professional Program - New Building - Building 8 - To Construct one - 3 storey multiple dwelling townhouse containing 12 dwelling units.

Refer to 2019-01517 for site work, below grade facilities and common underground parking.

VBBL 2014 - Reviewed during the 2020 pandemic crisis."|BP-2021-00201
2520 GUELPH STREET, Vancouver, BC V5T 3P5|"Certified Professional Program - New Building - To construct a 4-storey mixed-use building consisting of restaurant Class 1, retail and office on 1st floor, multiple dwelling on 2nd, 3rd and 4th floor, containing 70 dwelling units all over 2 levels of underground parking having vehicular access from the lane.

Separate tenant improvement permits are required for the shell tenant spaces.  Two CRUs (#103 & #104-2522 Guelph St) facing lane are assigned as office shell.  Future change of major occupancies D to E will require spatial separation upgrade.

This permit has been reviewed under the 2019 Vancouver Building By-law (#12511).  
Building to be sprinklered to NFPA 13 requirements. 
The retail and office shell portions of the building are TIPs eligible at the time of construction.

STAGED CONSTRUCTION

Stage 1 - Excavation and Shoring - issued January 28, 2021
Stage 2 - Full Structure - issued April 23, 2021
Stage 3 - Full Construction - issued December 24, 2021

Stage 3 Rev 1 - Removal of demising wall between CRU 6 & 7 - issued June 29, 2022

Revision 2 - Address Change to CRU 01 and 04. - issued September 22, 2022"|BP-2020-01183
2408 GRANT STREET, Vancouver, BC V5K 3G4|"Certified Professional Program - New Building - To construct a 5-storey mixed-use building consisting of 5 retail shell units and residential uses on the ground floor, three levels of residential uses containing 45 dwelling units on levels 2 to 4 for a total of 45 dwelling units, all over one level of underground parking.

******REVIEWED UNDER THE PROVISIONS OF VBBL 2014********

STAGE 1 - Excavation and Shoring issued on June 8th, 2020.
Stage 2: Full Structural to Roof. Aug. 18, 2020, B. Smith
Stage 3: Full Construction. Nov. 9, 2020. B. Smith

STAGE 3, REVISION #1 (Mar 17, 2022): Related to M/A DP-2020-00887. 
- Changed the south facade from elastomeric paint to powder coated metal panel.
- Changed the ACM cladding to Hardie reveal from level 3 to 5. 
- Minor exterior and interior changes
- Architectural drawing set of Stage 3 is superseded by this revision set."|BP-2019-02147
2450 GARDEN DRIVE, Vancouver, BC|"Certified Professional Program - New Building - To develop a new six-storey, mixed-use building combustible building with retail units (Group E shell) on the first storey and 122 strata dwelling units on storeys one through six all over two levels of underground parking having vehicular access from the rear lane.

NOTE: The  building is demised by a firewall into 2 separate buildings. The firewall runs from the 3.2.1.2. parkade slab, terminating at a parapet at the Level 4 roof deck. The portions of Level 5 and 6 above the firewall are setback from the firewall.


Stage 1 (excavation and shoring) - issued September 29, 2022"|BP-2022-00448
7587 YUKON STREET, Vancouver, BC V5X 2Y4|"Certified Professional Program - New Building - This permit has been issued for all site work and below grade facilities including one level of common underground parking for the proposed development:

To construct 4 storey multiple dwelling buildings consisting of four buildings, NE, NW, SE Buildings each contain 8 dwelling units, SW Building contains 7 dwelling units, all over one level of underground parking, having vehicular access from the lane.

Refer to BP-2019-00102 for Building 1 (North/East)
Refer to BP-2019-00103 for Building 2 (South/East)
Refer to BP-2019-00104 for Building 3 (North/West)
Refer to BP-2019-00105 for Building 4 (South/West)

STAGED CONSTRUCTION
Stage 1 - Excavation & Shoring (issued Feb. 4, 2019)
Stage 2 - Full Structure (issued Mar. 18, 2019)
Stage 3 - Full Construction (issued Sept. 19, 2019)"|BP-2018-03262
4783 SLOCAN STREET, Vancouver, BC V5R 2A2|"Certified Professional Program - New Building - To construct a new 4-storey townhouse building which contains a total of 6 dwelling units plus 2 lock-off units at the dwelling units of the lowest floor level. There is no below grade parking, only at grade open parking accessed off the Lane at the rear of this site. This will be Building 1 at the North of this site and will include below grade site services. NOTE: Building 2 at South side of site (6 dwelling units + 2 lock-offs) is BP-2019-05356. 

This will be a Staged Construction project processed via a CP process for Susana Chui, CP (Camphora Engineering.  ** The 2014 VBBL applies **

Stage 1: Excavation & Shoring (April 14, 2020. B. Smith)
Stage 2: Full structural to roof (Aug. 18, 2020, B. Smith)
Stage 3: Full Construction (Apr. 8. 2021, B, Smith)

REVISION #1(Aug 15/22, A.Min): Changed Electrical Engineer of Record from Mike Shefreie, P.Eng to Abelito Camacho, P.Eng. effective Jun 17, 2022."|BP-2019-04670
1312 W 57TH AVENUE, Vancouver, BC V6P 1S8|"Certified Professional Program - New Building - The existing lot will be subdivided into 2 lots A & B; the existing heritage A Residential Facility-Community Care-Class A is relocated and converted to a multiple conversion dwelling (Building 1) containing three dwelling units and, to develop an infill three-family dwelling (Building 2) for a total of six dwelling, providing six parking spaces having vehicular access from the lane on the new Lot B (facing Hudson and W 57th streets). Lot A will be vacant.

VBBL 2019 - Reviewed during the 2020 pandemic crisis.

BP-2021-00128 - Building 2 - An Infill for 3 family dwellings.

STAGE 1 - Subdividing the site / Relocating the existing heritage house / Excavation & Shoring issued on Feb. 9th, 2021.

STAGE 2 - Full Structure including Foundation to Grade issued on May 4th, 2021.

Stage 3 - Full Construction issued on Sept. 22, 2021."|BP-2020-01200
188 E WOODSTOCK AVENUE, Vancouver, BC V5W 0B1|"Certified Professional Program - New Building - To construct a 6-storey mixed-use building consisting:
1st storey with mezzanine - 3 retail units (shell only) and 1 dwelling unit
2nd to 6th storeys - 45 secured rental housing units pursuant to the City's Rental 100 Program
all over 2 levels of underground parking providing having vehicular access from the lane.

Separate tenant improvement permits are required for the shell spaces.

This is a CP process, CP is Bill May, P.Eng.
This permit has been reviewed under the 2014 Vancouver Building By-law (#10908).  Reviewed during the 2020 pandemic crisis.

STAGED CONSTRUCTION
Stage 1 - Excavation and Shoring - issued January 13, 2020
Stage 2 - Foundation to Grade - issued June 24, 2020
Stage 3 - Grade to 2nd Storey Slab Structure Only - issued December 7, 2020
Stage 4 - Full Construction - issued April 1, 2021
Revision 1 - Update CRU address - issued April 1, 2021
Revision 2 - Change of Electrical EoR from Herb Sweeney to Kevin Zirul, effective May 25, 2021. - in review"|BP-2018-06556
1482 ROBSON STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building -  
To construct a 31 and 32 storey mixed use building containing Retail, Office and 319 Dwelling units (236 market/83 social housing), all over four levels of underground parking having vehicular access from the lane. 


STAGED CONSTRUCTION

Stage I (excavation/shoring) issued August 20, 2018.
Stage II (full construction) issued February 7, 2020. 

Change in CP: Barry Thorson replaced Tavis McAuley (effective Nov.4, 2019).

Revision 1: Revised shoring design to add 5 new soil anchors on East elevation. (issued Sept. 25, 2020)"|BP-2018-01124
1788 CYPRESS STREET, Vancouver, BC V6J 0H9|High Density Housing / Commercial - New Building - To add to and convert the existing 3-storey one-family dwelling to a 3-storey multiple conversion dwelling containing 6 dwelling units all over one level of underground parking floor with vehicular access from the lane.|BP-2019-03133
2075 E 1ST AVENUE, Vancouver, BC V5N 1B6|"Certified Professional Program - New Building - To construct three 4-storey multi-family townhouse blocks on top of an underground parkade.  
Block 1 - 7 strata units (2073 E 1st Av) - BP-2021-00911
Block 2 - 9 strata units (2075 E 1st Av) - BP-2021-00912
Block 3 - 8 strata units & one retail unit (2085 E 1st Av) -  BP-2021-00913

This project will be designed with passive house features.

Stage I (Excavation and Shoring) issued 22-Mar-2022 
Stage 2 (Str to grade&underground plumbing works) issued 13- Sep-2022
Stage 3  (Full permit) - in review"|BP-2020-01550
2075 E 1ST AVENUE, Vancouver, BC V5N 1B6|"Certified Professional Program - New Building - To construct Building 2 (North) (4-storey residential building), containing 9 townhomes. 

Building 2 is part of a larger development, consisting of 3 multi-family, 4-storey residential buildings on top of an underground parkade. 

Block 1 - 7 units (2073 E 1st Av) - BP-2021-00911
Block 2 - 9 units (2075 E 1st Av) - BP-2021-00912

Block 3 - 8 units & one retail unit (2085 E 1st Av) -
BP-2021-00913

Related to BP-2020-01550 (Site Permit) 

Stage I - Excavation & Shoring - Issued March 22, 2022
Stage II (Str to grade&underground plumbing works) issued 14-Sep-2022"|BP-2021-00912
8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-00958 

Construction of 16-storey residential building."|BP-2018-00856
3581 E KENT AVENUE NORTH, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-00958 
Construction of 16-storey  residential building."|BP-2018-00857
3588 SAWMILL CRESCENT, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - Building Permit for BP-2017-00958

Construction of 6-storey wood-frame residential building."|BP-2018-00855
8570 RIVERGRASS DRIVE, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - This permit has been issued for all site work and below grade facilities, including common underground parking for the proposed development:

Construction of two wood-frame residential buildings and two concrete residential buildings.
Staged construction.

Stage I (excavation and shoring) issued July 26, 2017.
Stage 2 (foundation to grade) issued November 27, 2017.
Stage 3 (full construction) issued March 16, 2018."|BP-2017-00958
8533 RIVER DISTRICT CROSSING, Vancouver, BC V5S 0H2|"Certified Professional Program - New Building - Building Permit for BP-2016-03449 

To construct an 18 storey mixed use building."|BP-2018-00875
3430 E KENT AVENUE SOUTH, Vancouver, BC V5S 4N4|"Certified Professional Program - New Building - This is permit has been issued for site work, below grade facilities and four levels common underground parking for the proposed development

To construct a residential  development consisting of three buildings:
Building 1 - 23 storey tower with 6 level podium    -258 units 
Building 2 -   2 storey                                         -7 townhouse units 
Building 3  -  2 storey                                         -3 townhouse units 

all over four levels of underground parking accessible from Oolichan Way. 

Note: Total number of market dwelling units is 268.

Note: Permanent dewatering is provided by secant pile walls installed along entire perimeter of this site. On the south -west side secant pile wall is shared by both properties 8690 Jack Uppal St. (related to BP-2018-04844) and 3430 E Kent Ave South. 

10-Jan-2020  -  Stage 1 (to place the secant piles) issued.
09-Apr-2020  -  Stage 2 (excavation and shoring)  issued. 
03-Sep-2020  - Stage 3 (full construction) issued - COVID19.

11-Jun-2020 - Revision#1 - COVID19. 
Changes to secant pile design .
Effective May 8, 2020 M. Janes, P. Eng. assumed responsibilities for Sch B -Geotechnical - items 7.1 to 7.4. 

27-Oct -2020 -Revision#2
Revised drawings from the incoming geotechnical engineer (temporary) prepared by Isherwood for Excavation and Shoring only.

7-Jan- 2022  -  Revision#3 
Changes to L22 and L23  to provide internal stair access to new private  roof decks for Suites 2201 and 2203 as approved under DPMA - DP-2021-00518.
A/M/E Revision Summary  Letters and DP Compliance Letter on file.

27-Oct-22 Revision#4 
To Add an Energy Transfer Station including Heat Exchanger, distribution - piping between ETS and the district energy service distribution, control   valves, instrumentation and metering."|BP-2019-01108
3430 E KENT AVENUE SOUTH, Vancouver, BC V5S 4N4|"Certified Professional Program - New Building - To construct a new  23 storey residential tower with six (6) level podium on the North/West side of this site containing 258 market residential units ( Building 1).  

Note: For full scope of work for entire development refer to BP-2019-01108 (Site Permit). 

10-Jan-2020 - Stage 1 (to place the secant piles) issued.
09-Apr-2020 - Stage 2 (Excavation and Shoring)  issued. 
03-Sep-2020 - Stage 3 (Full Construction) issued.

7-Jan- 2022  -  Revision#3 
Changes to L22 and L23  to provide internal stair access to new private roof decks for Suites 2201 and 2203, as approved under DPMA - DP-2021-00518."|BP-2019-01893
3996 DUMFRIES STREET, Vancouver, BC V5N 5R3|"Certified Professional Program - New Building - To construct a mixed use 14 storey tower with 6 storey podium building ( Building 1)  consisting of:  

First Storey ( Level 1)                               -   1 retail shell (Group E)  
                                                                  three(3) townhomes ,  Residential Amenity Spaces 
Second Storey                                          -  emergency Generator and Upper Level of TH
Third Storey ( Level 2)                               - office spaces ( shell)  and residential amenity 
4 th to 14th  Storeys ( Level 3 to Level 13)   - 120 apartment units

all over 3 levels of underground parking.
Total number of residential suites in Building 1 is 123.

Building 1 is part of a mixed use development; for full project description defer to BP-2020-01943.

21-July-2021 - Stage I (Excavation and Shoring) issued. 
18-Nov-2021 - Stage I - Rev 1, issued, changes approved under DP-2021-00703
19-Nov-2021 - Stage II (Full Structure) issued. 
21-Apr-2022 - Stage III ( Full permit) issued."|BP-2021-01237
3950 DUMFRIES STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a four storey multifamily Building ( Building 2 - TH Block 1)  consisting of 15 townhomes ( stacked), all over 3 levels of underground parkade.

Building 2  is part of a mixed-use development;  for full project description defer to BP-2020-01943.

21-July-2021 - Stage 1 (excavation and shoring) issued
18-Nov-2021 - Stage 1 rev 1 issued
19-Nov-2021 - Stage 2 ( full structure) issued 
21-Apr-2022 - Stage 3 ( full permit) issued 

15-Aug-2022 - Rev#2 
Clarifications on the floor assembly within Building 2 - TH1. Refer to Staged Construction drawings list for revised  drawings."|BP-2021-01238
1162 E 16TH AVENUE, Vancouver, BC V5T 2W3|"High Density Housing / Commercial - New Building - **********************PART 5 *****************************

To construct a new three storey, Multiple Dwelling containing Three Unit with a detached two car garage and one surface parking in the rear having vehicular access from the lane.

Dwelling units are side by side, no overlap. 

Building Review Branch Notes:
- Building Permit for DP-2019-00596 
- Schedule A, B (Architectural , Structural + Geo-technical), D provided. CRP: Eric Stine
- Sprinkler to NFPA 13D as per 3.2.5.12(3)(c), see terms.
- Governed by Part 4 & 5 of VBBL.
- Spatial separation calculation as per 9.10.14
- AC unit proposed in rear yard

* Reviewed as per VBBL 2019, and issued during 2020/2021 pandemic crisis.

Revision #1 (Adessa. M, April 14th, 2022), related to DPMA: DP-2022-00295
- Interior layout changes including kitchen, bathroom and bedroom reconfiguration 
- Window relocation on North and West elevations
- Patio door panels changed from 4 to 5 panels
Detailed list of revision on plan."|BP-2020-01417
1395 DAVIE STREET, Vancouver, BC|"Certified Professional Program - New Building - To construct a new  residential building consisting of:
- two new 18 (East Tower) and 19 (West Tower) storey residential towers containing 149 market residential units
- a three and four storey podium containing 68 social housing rental units 

all over four levels of underground parking accessed from the lane. 

08-June -2018 - Stage 1 ( excavation and shoring)  issued.
02-Aug -2018   -Stage 2 (foundation to grade, Structural only) issued.
17-May-2019  - Stage 3 (full permit excluding roof deck access hatch design  at Level 5 ( A 1.27) & Roof Plan ( A. 1.36)

Addressing Note:
1180 Broughton St -West tower (19 Storey) - 70 market dwelling units
1365 Davie St.      - East Tower (18 Storey)  - 79 market dwelling units
1395 Davie St.      - Social Housing (3 storey podium) - 68 dwelling units

Rev#1 - 16-Mar-2020 tn
Change of Engineer of Record (Mechanical and Plumbing).
Effective  Dec 2, 2019 Mr. Alexander J. Boome assumed responsibility as Engineer of Record for Mechanical and Plumbing disciplines  for 1180 Broughton St. project. 

Revision#2 - 27-May-2020 tn
Changes to A/M/S/E and CC drawings as per CP Professional BP Revision Letter, Architectural, Mechanical, Electrical and Structural BP  Revision Letters.
Changes to plans to match DPMA DP-2019-00512. 

Revision #3 - 30-June-2020 tn
Full height glazing enclosures on the private rooftop stair enclosures. Four enclosures in total ( 2 for each tower). 
Refer to DPMA DP-2020-00156.

Revision #4 - 12-Aug-2021 tn
Level 5 stair enclosures for access to private roof decks, revised from sliding roof hatch to full height glazed enclosures. 
Related to  DP-2021-00064"|BP-2017-03903
1206 E 22ND AVENUE, Vancouver, BC V5V 1W6|"High Density Housing / Commercial - New Building - To construct a new 2-storey multiple dwelling building containing three dwelling units (all having their own separate entrance at the grade) with a detached accessory building at the rear providing two parking spaces and one surface parking having vehicular access from the lane.

                      **THIS IS A PART 5 PROJECT**

Note:
1- This application is reviewed based on the requirements of VBBL 2019
2- Permit is issued during 2020 pandemic crisis
3- The building is 2-storey and basement per development permit

Revision-1 November 2, 2021
Correcting wrong information on drawing A1.0 for sprinkler system and building fire detection and alarm system."|BP-2019-05137
2075 W 12TH AVENUE, Vancouver, BC V6J 2G3|"Certified Professional Program - New Building - To construct a 6 storey multiple dwelling with forty-eight (48) rental dwelling units under the Secured Market Rental Housing (Rental 100) Policy, over 2 levels of underground parking, having vehicular access from the lane.

STAGED CONSTRUCTION

Stage 1 - Excavation & Shoring (issued Nov.29, 2018)
Stage 2 - Full Construction (issued Feb. 14, 2019)"|BP-2018-02450
4121 COLUMBIA STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a  2 storey building along the lane ( Building 2 - Southwest Building), consisting of 2 market rental dwelling units all over 1 level of underground parking, having vehicular access from the lane on this site.

Related to BP-2017-05508 (Site Permit).

05-July-2018 - Full Construction issued."|BP-2018-01092
4125 COLUMBIA STREET, Vancouver, BC V1V 1V1|"Certified Professional Program - New Building - To construct a 2 storey building along the lane (Building 3 - southeast corner of this site), consisting of 4 secured market rental dwelling units all over 1 level of underground parking, having vehicular access from the lane on this site.

Related to BP-2017-05508 (Site Permit).
05-July-2018 - Full Construction issued."|BP-2018-01093
268 W KING EDWARD AVENUE, Vancouver, BC V5Y 2J2|"Certified Professional Program - New Building - This permit has been issued for the site work, retaining walls, and below 
grade facilities for the proposed development:
To construct a  4 storey rental apartment building (Building 1) in addition to  two 2-storey rental townhouse buildings ( Building 2 & Building 3) facing the lane all over 1 level of underground parking.
The entire development is consisting of 51 secured market rental dwelling units. 

NOTE: All fees for the entire development on this site applied against this permit. 
Related to:
BP-2018-01315 - Building 1 - 45 dwelling units
BP-2018-01092 - Building 2 -  2 dwelling units
BP-2018-01093 - Building 3 -  4 dwelling units

08-May-2018 - Stage 1 - (excavation and shoring)  issued.
05-July -2018 -Stage 2 - (full construction)           issued."|BP-2017-05508
885 CAMBIE STREET, Vancouver, BC V6B 2P4|"Certified Professional Program - New Building - To construct a 27-storey mixed use residential/commercial building containing Retail Stores on the ground floor, General Office use on the 3rd through 5th storeys, 93 dwelling units and 1 lock-off unit on the 6th through 27th storeys, and 6 levels of underground parking accessed from the lane west of Cambie Street.

Stage I (excavation/shoring) issued July 14, 2017. 
Stage 2 (foundation and structural to grade) issued October 3, 2017.
Stage 3 (full construction) issued May 11, 2018.

Revision #1: Interior design changes to levels 25 and 27"|BP-2016-03442
